Parameters:
box_length	1180.41
n_particles	150
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	0.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
0.381959,3.26788e-16,45.4804,285.802,932.272,2506.47,1595.47,-964.198,1,0,163174,-163173
0.164558,2.61322e-17,969.041,663.38,1104.55,5425.43,-342.32,-4113.24,0,0,244361,-244361
0.228598,7.00543e-17,453.021,729.22,460.048,-4151.91,1645.06,-1518.9,0,0,107538,-107538
0.528274,8.64557e-16,570.268,315.511,465.421,-374.635,-575.852,-939.507,2,0,60237,-60235
0.647603,1.59273e-15,806.278,341.822,375.111,-3009.28,-721.575,898.987,3,0,65262,-65259
0.826559,3.3116e-15,161.679,625.603,269.97,-436.885,275.069,-108.696,4,0,30041,-30037
0.446237,5.21091e-16,778.665,259.21,724.496,3950.48,-1887.5,-2797.6,1,0,122546,-122545
0.631812,1.47904e-15,920.603,289.789,706.443,-810.83,-209.728,1585.65,3,0,55029,-55026
0.0705437,2.0587e-18,816.456,1004.09,1148.2,-1134.04,-6447.33,-10580.2,0,0,170627,-170627
0.807005,3.08209e-15,411.334,702.704,79.6009,-855.707,-413.441,1183.42,4,0,27451,-27447
0.0690313,1.9291e-18,706.544,304.25,267.578,-17446.4,8173.41,-533.46,0,0,290233,-290233
0.385239,3.3528e-16,290.076,184.182,875.629,1376.25,295.565,-2042.83,1,0,120390,-120389
0.667717,1.7458e-15,522.392,537.916,837.114,1293.56,-58.7944,550.448,3,0,54625,-54622
0.905541,4.35453e-15,196.562,22.4417,1116.6,702.6,638.784,873.109,5,0,36129,-36124
0.114127,8.71718e-18,472.92,504.502,635.722,-5045.22,-2988.66,-7827.58,0,0,242055,-242055
0.819604,3.22871e-15,336.127,4.17336,427.278,353.586,-317.539,-552.646,4,0,27250,-27246
0.0969402,5.34231e-18,238.688,190.021,132.34,5681.06,-6258.78,839.131,0,0,227752,-227752
0.383515,3.30798e-16,1120.46,904.96,858.355,941.899,4394.91,333.626,1,0,117865,-117864
0.612007,1.34427e-15,117.779,538.582,80.7692,-609.175,253.662,1571.1,2,0,38596,-38594
1.19718,1.00623e-14,191.399,746.885,183.046,1032.7,649.585,-476.062,9,0,19078,-19069
1.58151,2.3197e-14,197.553,972.379,814.653,121.812,119.02,70.2826,16,0,13420,-13404
1.53242,2.11035e-14,176.973,524.04,824.145,372.66,336.205,-20.1851,15,0,12576,-12561
1.60709,2.43412e-14,899.641,199.394,656.504,2.28028,238.504,150.782,16,0,14437,-14421
1.64736,2.62169e-14,481.124,1039.31,466.948,103.738,10.9188,498.979,17,0,14607,-14590
1.47721,1.89035e-14,596.866,782.313,1055.61,123.509,-22.8618,188.337,14,0,17544,-17530
1.9527,4.36638e-14,348.149,923.14,875.926,-61.8627,35.0048,357.932,24,0,12570,-12546
1.72737,3.02256e-14,606.122,828.154,837.173,-171.037,-372.443,-263.367,19,0,12541,-12522
1.71886,2.97807e-14,454.431,903.555,498.138,-27.1135,-33.9058,134.431,19,0,12708,-12689
1.49527,1.96054e-14,633.165,1076.3,1085.04,198.261,189.597,176.941,14,0,14833,-14819
1.06468,7.07736e-15,619.022,150.061,628.826,661.681,-527.301,-887.792,7,0,27041,-27034
1.52505,2.08002e-14,212.717,866.445,948.64,90.008,-173.615,58.007,15,0,18604,-18589
1.3941,1.5889e-14,803.188,922.728,711.062,-181.472,287.932,549.173,12,0,17580,-17568
1.38813,1.56859e-14,217.527,464.896,1119.58,593.559,128.295,-129.415,12,0,19150,-19138
1.69057,2.83347e-14,1118.15,750.667,496.917,85.2704,226.088,373.321,18,0,13389,-13371
1.71884,2.978e-14,833.866,22.1807,434.081,237.381,58.6699,389.85,19,0,11989,-11970
1.73941,3.08619e-14,842.744,670.928,488.471,-11.6577,-313.711,100.781,19,0,10781,-10762
1.74491,3.11555e-14,1084.96,859.208,330.857,-13.5838,21.58,-8.42253,19,0,11956,-11937
1.32329,1.35889e-14,44.1163,386.302,23.9819,79.9717,411.237,353.273,11,0,14654,-14643
1.94643,4.32449e-14,1118.52,781.238,251.881,338.335,99.9132,-194.597,24,0,9123,-9099
1.39148,1.57996e-14,771.194,325.504,215.294,-527.845,74.4205,102.251,12,0,17861,-17849
1.58605,2.33975e-14,330.638,161.644,20.3783,253.522,-600.175,284.062,16,0,16169,-16153
1.29403,1.27071e-14,952.114,879.164,140.087,-527.175,-402.382,591.148,11,0,17893,-17882
1.70424,2.90275e-14,1155.98,387.215,565.449,261.472,-54.6729,-608.764,18,0,14460,-14442
1.3779,1.53416e-14,459.521,763.284,1022.84,94.0476,-63.7096,-194.922,12,0,20964,-20952
1.47254,1.87248e-14,859.489,462.107,744.857,-119.439,-387.503,-94.5788,14,0,14883,-14869
1.85045,3.71575e-14,275.727,32.795,1027.02,232.272,389.817,206.61,22,0,11237,-11215
1.89949,4.0191e-14,1155.62,1133.22,1123.56,-294.507,-4.93378,170.701,23,0,11596,-11573
2.36484,7.7557e-14,69.46,858.326,808.157,-31.8007,263.019,32.5536,35,0,7635,-7600
3.33133,2.16805e-13,763.533,970.655,699.621,36.9465,45.7086,29.673,70,0,4821,-4751
3.99332,3.73439e-13,820.57,306.004,733.976,105.765,-50.8673,8.6934,100,0,3764,-3664
2.45767,8.70534e-14,1175.62,73.7235,134.68,217.135,168.381,34.3348,38,0,6042,-6004
3.28217,2.07347e-13,465.512,904.958,33.3717,-128.262,-72.5853,-138.573,68,0,4747,-4679
3.88523,3.43927e-13,134.879,667.818,467.048,75.8188,-80.9038,144.692,95,0,3726,-3631
3.24793,2.00927e-13,999.914,663.427,960.603,-24.539,245.361,80.1525,66,0,4876,-4810
3.23794,1.99078e-13,467.135,969.23,796.509,-195.198,-38.217,-33.2196,66,0,6049,-5983
3.38146,2.26742e-13,140.072,812.842,982.332,-8.84474,-17.4485,-81.3214,72,0,4229,-4157
3.24647,2.00655e-13,1084.38,642.74,992.996,-56.9554,-115.431,104.805,66,0,4825,-4759
2.71238,1.17023e-13,179.46,513.764,82.8724,85.2195,-74.8552,-110.33,46,0,6420,-6374
3.55746,2.6402e-13,927.557,5.97771,632.375,-53.984,21.4015,-3.76629,80,0,4905,-4825
2.69044,1.14205e-13,187.223,486.919,147.423,-18.6881,-56.6033,328.17,45,0,7297,-7252
2.69988,1.15412e-13,806.797,256.357,45.2447,-126.687,-122.708,-122.871,46,0,6077,-6031
2.31548,7.28016e-14,60.3953,677.955,625.164,-22.4739,-75.7399,211.208,34,0,8580,-8546
2.02944,4.9017e-14,367.108,228.611,506.276,47.5239,-69.374,99.0006,26,0,11764,-11738
2.73407,1.19852e-13,355.812,1164.08,324.697,18.834,-82.2037,-114.455,47,0,6618,-6571
3.48837,2.48935e-13,1088.57,841.744,1115.89,-12.278,-28.5848,97.1579,76,0,4303,-4227
2.23842,6.57718e-14,884.483,794.907,1154.44,373.926,-4.09453,80.4064,31,0,6467,-6436
6.1075,1.336e-12,951.707,533.251,101.297,4.00648,39.4484,12.9708,234,0,1967,-1733
6.57992,1.67062e-12,1130.44,1171.35,675.279,-24.3812,-27.1609,-4.4186,272,0,2207,-1935
5.75849,1.11981e-12,43.824,181.895,27.4752,-18.9344,22.6568,-23.8567,208,0,2201,-1993
6.22864,1.41708e-12,1006.46,874.803,826.15,49.4089,36.5932,39.0847,244,0,1784,-1540
7.33683,2.31602e-12,900.891,149.282,65.7804,-29.6189,46.9105,-0.299508,338,0,1543,-1205
7.62821,2.60306e-12,1043.53,985.576,252.726,-2.62912,40.0625,-6.35265,366,0,1650,-1284
5.96006,1.24156e-12,799.368,1103.55,946.609,-34.3547,14.7787,19.9373,223,0,1894,-1671
5.37363,9.09954e-13,86.8394,533.315,415.82,-61.6664,-9.5979,-30.8706,181,0,2301,-2120
7.01511,2.02451e-12,400.369,399.91,957.05,-9.28739,-10.8797,4.23145,309,0,1785,-1476
4.64777,5.88775e-13,184.82,600.95,364.133,46.1823,19.7792,-28.3929,136,0,3064,-2928
7.94489,2.9409e-12,151.742,525.619,459.976,-2.36198,21.8439,-7.72792,397,0,1129,-732
5.05584,7.57874e-13,521.571,137.306,349.859,57.2349,1.93386,-60.8599,161,0,3253,-3092
5.73858,1.10823e-12,891.418,1007.29,691.787,-21.9707,88.8661,69.1242,207,0,2246,-2039
14.5426,1.80363e-11,791.038,260.63,563.537,-16.1941,6.51422,-6.74716,1329,0,691,638
14.58,1.81758e-11,47.5883,865.579,514.9,8.69303,2.60223,10.0854,1336,0,573,763
8.82969,4.03695e-12,44.2618,468.044,584.749,-27.4116,13.9186,2.59222,490,0,1200,-710
10.5738,6.9328e-12,902.34,213.905,524.699,21.1701,21.7012,29.1971,702,0,1050,-348
9.1987,4.56453e-12,962.552,919.195,1014.64,-11.7131,14.1072,0.0235879,532,0,1158,-626
11.2521,8.35444e-12,1167.23,386.112,1034.76,19.1067,-7.69704,-6.82793,796,0,946,-150
14.7962,1.89961e-11,852.941,269.715,68.804,12.6189,7.30625,-5.27186,1376,0,664,712
10.1705,6.16937e-12,219.711,973.267,18.6362,14.2758,3.62143,-4.96698,650,0,1002,-352
13.4523,1.42759e-11,563.844,500.746,1126.9,17.5977,3.54713,1.84376,1137,0,752,385
31.3615,1.80886e-10,904.741,761.289,741.918,0.780974,-1.54791,-5.34548,6180,0,395,5785
25.3314,9.53218e-11,910.592,564.165,1131.14,-5.12512,-0.478755,3.29768,4032,0,375,3657
29.8495,1.55966e-10,113.996,54.6993,831.111,-0.52959,1.16977,-1.56881,5598,0,391,5207
30.8862,1.72787e-10,347.733,540.118,1026.56,2.03718,-3.45011,2.16277,5994,0,335,5659
31.3975,1.81511e-10,441.141,279.417,218.202,4.0313,0.220342,2.29906,6194,0,340,5854
29.1169,1.4476e-10,1033.87,546.005,909.268,3.98968,-2.13562,0.301398,5327,0,385,4942
31.4095,1.81719e-10,619.799,338.819,696.042,-1.47167,0.229397,-3.41185,6199,0,321,5878
29.8126,1.55388e-10,261.13,547.136,1130.21,-2.16093,-2.85355,3.19314,5584,0,358,5226
43.8175,4.93354e-10,954.039,1048.21,712.322,-0.248439,-1.16441,0.428323,12064,0,318,11746
48.8832,6.85007e-10,855.929,1064.31,819.296,0.138564,-1.3469,-1.42064,15014,0,312,14702
58.5412,1.17652e-09,902.79,1097.52,625.934,-1.46145,2.29807,1.78693,21533,0,318,21215
58.3815,1.16693e-09,201.652,174.222,939.156,-0.853605,1.74168,-0.425713,21416,0,358,21058
40.2323,3.81894e-10,261.016,124.215,815.223,2.69318,0.369911,-2.59392,10170,0,292,9878
57.649,1.12355e-09,729.276,66.8806,613.502,-2.4857,-2.12714,0.359602,20882,0,315,20567
38.2512,3.2821e-10,146.008,397.924,452.181,-1.37926,2.03188,0.183324,9193,0,278,8915
44.9878,5.3395e-10,415.813,433.596,135.274,-0.600176,-0.743932,-1.92218,12717,0,273,12444
36.7623,2.91357e-10,923.02,776.472,148.947,0.898895,-3.43866,-4.88294,8492,0,341,8151
39.4356,3.59653e-10,1110.48,1010.98,394.944,-1.02782,-1.58772,-1.86855,9771,0,313,9458
38.4638,3.33713e-10,1037.07,646.137,1098.99,1.59712,-2.85572,0.239199,9296,0,327,8969
53.6533,9.05745e-10,875.514,57.7816,1099.18,0.330217,0.740134,1.12329,18087,0,322,17765
61.8076,1.38466e-09,1113.11,609.745,70.3827,-0.229078,0.205732,-0.265901,24003,0,349,23654
60.5889,1.30435e-09,581.036,197.94,448.874,-1.1053,0.238725,0.333702,23066,0,307,22759
58.6528,1.18327e-09,73.9201,953.656,1084.03,1.20873,2.50047,-0.327242,21615,0,321,21294
55.1681,9.84648e-10,688.522,58.3746,981.832,2.03505,0.377463,1.50267,19123,0,278,18845
33.5075,2.20619e-10,688.322,482.963,74.3829,0.407419,-3.25404,-1.58509,7054,0,330,6724
47.3711,6.23385e-10,991.357,994.091,72.8012,-1.33272,-1.76765,-0.859788,14100,0,336,13764
41.598,4.22117e-10,855.502,524.454,983.324,0.327428,-1.99868,3.3791,10872,0,321,10551
56.4706,1.05605e-09,511.865,1108.63,754.907,1.80522,0.840657,0.151276,20037,0,345,19692
116.94,9.37784e-09,1008.24,218.216,738.389,0.562009,0.637841,-0.280025,85922,0,560,85362
124.785,1.13948e-08,503.021,502.366,971.92,-0.158816,-0.280065,0.284962,97838,0,615,97223
112.604,8.37302e-09,815.833,379.406,932.896,0.0486792,0.681707,-0.477432,79669,0,609,79060
74.7238,2.44677e-09,1033.3,965.756,671.813,-0.700041,0.436243,-0.833715,35083,0,390,34693
113.246,8.51705e-09,219.414,378.415,598.666,0.307483,0.249127,-0.265812,80580,0,565,80015
65.6208,1.65707e-09,414.416,935.646,905.029,0.628494,1.30986,-1.24667,27056,0,345,26711
79.3223,2.92687e-09,257.41,1024.08,889.238,-0.302327,-0.894514,1.44584,39534,0,412,39122
63.0425,1.46932e-09,170.407,828.247,274.139,1.15965,-1.32261,0.907797,24972,0,327,24645
119.315,9.96099e-09,510.287,219.612,686.305,-0.255244,-0.0841195,0.307957,89448,0,633,88815
114.246,8.74465e-09,183.976,137.192,659.192,-0.55198,0.0639672,0.729379,82009,0,605,81404
75.2372,2.49755e-09,129.726,1029.86,799.631,-0.911322,0.276177,-0.289285,35567,0,325,35242
103.063,6.41988e-09,455.132,783.688,735.606,-0.103023,-0.406947,0.332251,66740,0,506,66234
103.913,6.57999e-09,292.82,813.527,465.692,0.758612,-0.781536,0.43129,67845,0,537,67308
121.717,1.05749e-08,213.366,1004.63,329.126,0.139388,-0.00690081,0.483717,93086,0,637,92449
85.7605,3.69895e-09,771.869,682.667,549.342,-0.530346,-0.902377,1.4554,46212,0,458,45754
108.061,7.39986e-09,891.881,485.984,551.44,-0.266284,-0.100262,0.754807,73370,0,554,72816
87.2631,3.89681e-09,898.897,650.604,185.196,-0.666847,-0.225181,0.161787,47846,0,426,47420
71.1317,2.1106e-09,1052.27,1087.31,572.431,-0.610082,0.529657,1.1991,31791,0,344,31447
97.9988,5.51923e-09,384.553,837.427,1033.88,0.3445,0.839249,0.123634,60342,0,484,59858
99.9,5.84673e-09,507.026,487.413,318.552,-0.887085,-0.189005,0.555593,62706,0,489,62217
