Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
0.644102,1.56704e-15,869.612,1275.88,1232.56,2646.39,2362.67,-1145.71,8,0,140273,-140265
0.871336,3.87948e-15,1406.69,1311.95,1015.69,1232.15,-839.057,402.51,14,0,80037,-80023
0.168302,2.79565e-17,1185.22,344.534,1366.74,-3999.21,-10186.3,-5417.77,1,0,798332,-798331
0.943362,4.92324e-15,128.144,302.813,679.591,-222.655,-227.983,501.187,17,0,48657,-48640
0.192214,4.16461e-17,637.484,557.955,846.203,4337.66,2223.18,7429.48,1,0,729484,-729483
0.964841,5.26725e-15,1367.75,780.801,1174.56,-769.951,126.542,-731.416,18,0,69586,-69568
0.353717,2.59529e-16,1000.48,353.551,797.991,2086.6,-1428.45,-2202.79,2,0,377586,-377584
0.413989,4.16085e-16,71.7047,141.829,844.632,2718.52,-2114.46,1546.63,3,0,177847,-177844
0.0640923,1.54395e-18,1406.23,842.837,1136.49,37040.5,-5563.42,-9580.8,0,0,1496223,-1496223
0.177988,3.30668e-17,271.994,29.064,74.1176,-6937.81,-2353.36,5029.44,1,0,477127,-477126
0.00405975,3.92387e-22,515.793,233.936,91.3626,-2684.91,2004.5,644.116,0,0,221229,-221229
0.0434568,4.8127e-19,1000.82,926.666,22.7288,-6442.6,-25318.5,-2280.52,0,0,802401,-802401
0.747929,2.45357e-15,1318.17,778.613,946.036,754.633,-1142.99,146.524,11,0,95118,-95107
0.961344,5.21018e-15,785.918,727.247,616.622,17.0402,783.926,-302.563,17,0,81216,-81199
0.625678,1.43638e-15,352.414,448.799,857.789,487.258,1893.27,-1202.78,7,0,126283,-126276
0.637133,1.51672e-15,1209.62,999.745,1348.59,528.656,-832.939,990.364,8,0,128791,-128783
0.329804,2.10371e-16,31.2253,309.542,32.8216,1807.73,-3161.08,-58.84,2,0,295444,-295442
0.303192,1.63445e-16,1215.62,734.835,1217.07,658.024,-935.439,2447.28,2,0,266893,-266891
0.474164,6.25175e-16,751.963,253.563,107.881,-817.508,1335.88,522.021,4,0,181741,-181737
0.0821973,3.25679e-18,1295.08,1117.84,771.403,4038.58,-16251,-24562.1,0,0,1198304,-1198304
0.485876,6.72655e-16,652.71,1182.06,455.936,-1240,264.079,-727.277,4,0,151747,-151743
0.451593,5.4008e-16,1343.05,636.648,441.029,319.779,967.563,197.01,4,0,265135,-265131
0.698455,1.99817e-15,246.817,1339.18,141.226,2439.98,-463.825,-335.376,9,0,92598,-92589
0.339682,2.29845e-16,664.819,1015.16,641.355,2012.6,1701.98,9691.71,2,0,393240,-393238
0.204807,5.03793e-17,915.778,769.95,194.383,4508.06,968.299,-7641.36,1,0,585418,-585417
0.967049,5.30349e-15,760.226,1095.59,97.1206,15.0399,-926.72,151.55,18,0,73826,-73808
0.00120401,1.02355e-23,983.975,1187.6,386.624,803.187,2505.67,8065.14,0,0,557181,-557181
0.38854,3.43973e-16,792.826,1157.55,225.251,-748.549,2406.15,-2687.25,3,0,296084,-296081
0.177982,3.30633e-17,432.802,1182.78,519.707,6064.15,10450.8,-2407.84,1,0,819727,-819726
0.0401379,3.7921e-19,598.275,26.1505,1417.19,-4100.35,-1986.98,-422.602,0,0,229179,-229179
0.00507861,7.68158e-22,911.607,225.422,392.292,-5382.5,11037.5,73.2494,0,0,613845,-613845
0.910136,4.42116e-15,38.6074,124.128,1188.26,315.48,1238.73,504.913,16,0,97085,-97069
1.05869,6.95863e-15,501.459,678.741,1390.73,-325.636,-632.84,806.995,21,0,65936,-65915
1.61695,2.47915e-14,964.911,697.418,685.042,-414.6,-111.178,-38.6346,49,0,37801,-37752
1.40311,1.61993e-14,1058.89,945.364,1260.47,400.424,-401.813,337.27,37,0,37844,-37807
1.06433,7.07037e-15,1243.06,278.579,1427.01,39.3485,-286.252,-65.0058,21,0,50642,-50621
1.28157,1.23435e-14,793.45,1074.46,274.064,169.086,-218.256,348.659,31,0,45914,-45883
1.80099,3.42571e-14,298.217,398.085,1169.2,-103.775,-32.0043,-193.335,61,0,28820,-28759
1.72365,3.00305e-14,242.795,1278.81,757.75,265.431,321.883,-310.654,56,0,29748,-29692
