Parameters:
box_length	1185.43
n_particles	150
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
0.159388,2.37457e-17,36.0338,810.824,94.3714,-6145.35,-6784.73,5994.85,0,0,427970,-427970
0.20442,5.00943e-17,1132.56,723.333,518.273,5714.65,1403.89,10934.3,1,0,581056,-581055
0.69066,1.93201e-15,1051.21,45.7406,839.23,-353.019,737.814,1497.24,6,0,98325,-98319
0.121931,1.06307e-17,556.781,1063.31,713.055,4919.04,-3495.99,19923.2,0,0,551470,-551470
0.123428,1.1027e-17,302.372,886.607,715.136,4373.46,11444.8,1801.36,0,0,404068,-404068
0.468449,6.02842e-16,374.662,662.648,1180.74,-205.356,-2130.6,922.9,3,0,235438,-235435
0.805249,3.06202e-15,204.825,481.478,671.593,-508.019,1106.21,-675.357,8,0,81189,-81181
0.982313,5.55861e-15,709.455,584.741,700.817,-95.431,-652.755,-348.35,12,0,43138,-43126
0.614473,1.36058e-15,20.9114,155.065,452.711,959.835,-293.469,765.53,5,0,108761,-108756
0.673374,1.79054e-15,1010.2,980.274,290.129,568.63,-573.712,467.317,6,0,82700,-82694
0.197566,4.52222e-17,854.384,768.353,1161.39,3208,1030.99,-1203.34,0,0,296866,-296866
0.42077,4.3687e-16,1091.29,440.603,650.447,-201.461,3910.2,4117.6,2,0,213484,-213482
0.584898,1.17343e-15,1146.86,447.632,564.003,393.79,792.886,-3280.84,4,0,135008,-135004
0.87718,3.95806e-15,254.47,276.168,487.11,-931.595,102.975,-959.841,10,0,65283,-65273
0.801349,3.01774e-15,897.19,1031.64,925.021,-1077.31,239.698,-339.307,8,0,71014,-71006
0.341798,2.34167e-16,1016.59,149.354,339.59,-460.273,-36.7576,1612.7,1,0,152904,-152903
0.902769,4.31466e-15,460.652,316.805,466.773,-300.697,428.39,-77.6435,10,0,63025,-63015
0.54528,9.5077e-16,1086.71,131.711,248.398,-20.6789,709.623,85.0771,4,0,167118,-167114
0.0850557,3.6085e-18,636.428,606.011,581.972,-6332.82,1334.53,1114.43,0,0,456093,-456093
1.1956,1.00224e-14,616.392,942.622,706.859,-663.357,436.199,17.4763,18,0,48919,-48901
1.77401,3.27407e-14,94.1797,363.828,882.383,-307.982,-18.1294,-250.327,40,0,19702,-19662
1.77182,3.26196e-14,400.189,147.959,789.016,-383.458,-152.372,-114.211,39,0,22613,-22574
1.05704,6.92613e-15,103.487,90.0504,1118.34,-335.655,425.079,24.9759,14,0,51056,-51042
1.28808,1.25328e-14,309.188,797.613,523.678,-280.44,-372.269,397.157,21,0,32504,-32483
