,N,Bx,By,Bz,Ex,Ey,Ez
0,1000000,8.845955255205475e-15,1.8315826668554797e-17,6.433921689742843e-15,-2293.4179716857107,-1.1397185776840582,1019.218783702025
1,1000000,8.798671669436815e-15,-1.21337676922021e-16,9.528201129732444e-15,-2244.240839479486,0.04406210602545372,1019.1553628035206
2,1000000,8.784013426876652e-15,9.929885448520835e-17,5.4219090503267564e-15,-2251.1850089384197,0.77291094286932,1018.4540472278943
3,1000000,8.76985001815858e-15,-8.785063851024247e-17,8.494147815227525e-15,-2282.120346337349,-0.36450724414358265,1019.3907055874838
4,1000000,9.047900242854317e-15,-1.5776708218415965e-16,5.172435723425074e-15,-2257.7993500548123,-0.7522333644792595,1019.5651776900182
5,1000000,8.887877521985955e-15,-9.813334677315266e-17,7.531199548229331e-15,-2286.9399160125586,0.5314997022859435,1021.509928213412
6,1000000,8.720297019975881e-15,-2.2168610692419403e-16,1.7628919006552425e-15,-2231.4561879313424,-0.15158261885864902,1021.8918467778759
7,1000000,8.857658896517707e-15,-7.581261584113856e-17,6.004837262011021e-15,-2258.2415453007225,0.23191892481996387,1020.9677664640597
8,1000000,8.791086364051947e-15,8.014575512729137e-17,8.622015191395852e-15,-2266.3796736592567,1.4938824963770387,1020.5742806900415
9,1000000,8.885841228038365e-15,2.821287491089462e-18,2.3545327010625557e-15,-2249.4888407386106,-0.23982116018390492,1022.8596653981289
10,1000000,8.644374227250228e-15,2.6387289333683472e-17,4.402115891928078e-15,-2302.1418717134898,-1.7393265425246165,1020.6503841764843
11,1000000,8.72411820187515e-15,2.7664230341701153e-16,8.077089515086809e-15,-2291.752951388064,0.8565669852949515,1019.4818874889525
12,1000000,9.050656327577172e-15,3.542379323004302e-17,9.438427773353035e-15,-2259.677844028029,3.017097819860086,1020.5475107890283
13,1000000,8.91971347145643e-15,3.095311870792638e-16,5.895371470970204e-15,-2270.8743900649847,0.6317409550853883,1021.0015114547854
