,N,Bx,By,Bz,Ex,Ey,Ez
0,1000000,-2.2516500880397755e-13,-5.32578325914064e-13,1.5549187939406055e-10,11961.055919066272,-6813.772072366837,344575.69404700614
1,1000000,3.421995516535537e-14,-3.471384776385907e-13,1.5605984258539376e-10,18577.152211442528,-1939.718429592057,347444.6403939324
2,1000000,-2.8272080126069216e-13,-1.537591970688846e-13,1.5721043699925715e-10,-19620.258182747064,-3105.041243520827,348080.233979257
3,1000000,-1.1175464143674361e-13,-1.0918913482285209e-13,1.5386754534843578e-10,426.79165939097146,13916.0558885562,346264.8849251891
4,1000000,-1.1071615679413335e-13,-4.803613942829382e-13,1.5250078666856017e-10,7064.5687938663605,-14231.787985456165,342820.82250347425
5,1000000,3.598112368956476e-14,-1.7960991015684557e-13,1.5575284357522571e-10,13400.349831336986,14855.747225668785,346747.9681775816
6,1000000,4.2122924208595316e-13,3.831370918591509e-13,1.5442187236202835e-10,-1864.0390761239414,-4026.1946909262256,347746.5394672271
7,1000000,3.0973632808194006e-13,-9.444697053450729e-14,1.54435573348331e-10,6098.075781835791,27376.4528893847,350273.50054564176
8,1000000,1.3184406020816272e-13,3.310338536594451e-13,1.557872028893294e-10,6230.86361976558,19336.939458296274,350118.69462881284
9,1000000,-2.3948422043728156e-13,4.444009997287393e-14,1.5514180644317374e-10,3780.864925165991,-8677.610570098004,343765.39740827226
10,1000000,-3.0170952404026864e-15,-1.8249025235469975e-13,1.5521681595196343e-10,6893.742281832565,-6136.08160030071,345117.43253433565
11,1000000,-6.090371676172775e-14,3.822915389294115e-13,1.5327643208773072e-10,-4550.761106956682,4158.402344922945,350971.87385381444
12,1000000,-8.055301738841205e-13,2.1847539754021385e-13,1.5659170400905352e-10,-6911.974582423674,-3338.70775399441,348996.6973079414
13,1000000,-4.831789752635008e-13,-7.221296718706737e-14,1.5852791234714568e-10,-7139.703717293367,733.6154714222989,342965.160272937
14,1000000,-3.099240009512004e-13,-4.478580571666211e-15,1.5547667162702003e-10,-6952.151935805302,-3201.865235057456,350207.1403455642
15,1000000,5.1846623963391064e-14,-5.472512333082537e-13,1.5604232578155155e-10,-2985.9599092209482,5002.08025038757,346352.3003185594
16,1000000,6.422380186422278e-15,-2.245514543801116e-13,1.536522255684277e-10,-8657.809947510063,14657.477439955155,348918.6617809417
17,1000000,-1.8952600847918349e-13,2.2047176566755616e-13,1.5366934600034508e-10,-13775.94602225151,6685.641269305579,349586.4109957262
18,1000000,-7.466306219107752e-14,-4.526994761292719e-14,1.558738197479287e-10,-9789.16167805164,5923.789943800362,344280.82073874644
19,1000000,-4.1454595642082686e-13,4.3667282348425626e-13,1.5631731915266954e-10,3244.58069784763,1515.3448502329395,339396.2468415012
20,1000000,4.223908001222649e-13,2.0191951213589105e-13,1.557152544934461e-10,-8245.91706479334,-13989.356683109561,345049.18342997617
21,1000000,-6.612945135729355e-14,4.148167652843552e-13,1.5580975929153272e-10,1275.8738880321541,-2326.006089425316,351070.0412408502
22,1000000,-2.482543202038854e-13,4.3823831783911157e-13,1.5424541449227422e-10,11346.885351173722,4909.802177416552,344293.9601888115
23,1000000,-3.1641812919511645e-14,3.198935530042458e-13,1.5592373465474834e-10,-9742.044320066652,4058.3333216062424,341038.0975355242
24,1000000,-9.478433543274325e-14,-4.272655774997327e-13,1.5427196697990244e-10,1637.700188565133,-2139.1802542240675,351014.5483339133
25,1000000,-8.652039078303529e-14,6.185951743836457e-13,1.5534045264591652e-10,-8822.521598479396,-11315.215971652355,346149.1701530448
26,1000000,-3.4625878594158374e-13,-7.639945544826252e-13,1.5697869782690074e-10,-1878.6459390102893,-223.15519185067893,347099.9099446582
27,1000000,-6.681951865870459e-16,-7.944870035979773e-14,1.5277702798308884e-10,-5378.430517787758,-899.7650572254034,349507.60867491947
28,1000000,2.3916724335481477e-13,1.6205952912720459e-13,1.5579551317185213e-10,5470.282707214191,9485.537727609879,347682.2920864082
29,1000000,-2.633412114334873e-13,7.709782218766282e-14,1.5537080546629233e-10,824.662465772203,-14225.848338063053,349103.66283838346
30,1000000,-3.581358428206897e-14,1.485343543747599e-13,1.547655988574907e-10,-1882.0635574518558,1204.0659593959747,347212.7824043711
31,1000000,1.608168313673145e-13,-8.378529648175276e-15,1.5499015970010142e-10,-6564.735174470591,-2699.3220003540996,353674.6231204388
32,1000000,-1.8197636130020118e-14,-1.796725473554668e-13,1.5463190739280153e-10,-10407.090560734545,-8206.879851980286,340263.0836068172
33,1000000,2.1115253354759196e-13,4.549583710091967e-13,1.5329539567351125e-10,-1959.8897244450843,-653.0418773651041,347576.3933666544
34,1000000,-4.584255895751848e-13,-7.72955454696985e-14,1.5606327826984353e-10,-1093.125149826019,-8899.722390426688,344899.7192033269
35,1000000,6.034982512555836e-14,-5.110964685906302e-13,1.5505398785600034e-10,3274.2788266924554,-9766.030486167803,348012.7280143404
36,1000000,-2.7225209707320424e-13,-3.822429405687739e-13,1.5357141742628208e-10,6282.295229490854,-11382.798572017142,347205.85819188174
37,1000000,-3.4255478857992935e-13,-1.4238510615667676e-13,1.5509432907116353e-10,-2127.855676165562,8395.107141840637,346474.431627618
38,1000000,1.9788087819346769e-13,-4.296402738255831e-13,1.5557575870776889e-10,-2484.1319837844503,-11795.15160593265,347254.0101583251
39,1000000,9.996114169070879e-15,-1.7078906052016566e-13,1.558785848737622e-10,3344.962953114687,-1308.78829386224,349759.32177869405
40,1000000,8.340540304696686e-14,-4.2481145457795195e-13,1.5745558951118955e-10,-7409.01350206856,-1975.1606933234525,352324.96597567806
41,1000000,-3.401054130776598e-13,2.796827965153449e-13,1.5468073447520986e-10,3496.7039998061946,-14736.904633120872,342298.934766967
42,1000000,6.299654523741312e-14,1.582395700866833e-13,1.5646286764290134e-10,-4726.6663940797,-3024.0066529876103,348705.2188313431
43,1000000,8.499402934441928e-14,-4.655318811476748e-13,1.542961855520797e-10,4363.7902985536975,-8060.7328545300325,341219.5918370964
44,1000000,-2.7689429558948474e-13,1.9634821121776796e-13,1.5614300417787438e-10,-9576.569207352128,18136.755449525717,348998.5474855193
