,N,Bx,By,Bz,Ex,Ey,Ez
0,1000000,1.575447069701569e-14,-5.109156705574521e-16,4.666199242599194e-16,-540.8908058952684,-3.3426306868223223,1826.5066866653237
1,1000000,1.5909623223746247e-14,-2.316148461533211e-16,-1.5281802883001381e-15,-546.5745388594185,-3.4307092824835475,1828.2671151090167
2,1000000,1.58848336418836e-14,-2.6416781124170465e-16,-4.967678802486626e-15,-551.4494327527565,0.4880244630290168,1824.7046925066506
3,1000000,1.5543040715340196e-14,-2.9474344833933627e-16,4.928733664230583e-15,-466.70245372564403,-4.4912614918409215,1823.4055280992102
4,1000000,1.60552399962369e-14,-4.183174799360936e-16,-7.127968632863106e-15,-553.2782559318402,-0.7502113139715351,1825.8170283922314
5,1000000,1.5455059435019468e-14,1.2845491986748288e-16,4.016607949815183e-15,-652.1083464489766,2.900396052237854,1827.2717261387556
6,1000000,1.6078035863773153e-14,-6.781073180233583e-17,9.183264630916632e-16,-489.1448006220847,-2.910484291708495,1822.8304456129836
7,1000000,1.5878138761608987e-14,2.426613695856147e-16,-7.610845687037764e-15,-578.6851532494818,1.476881492353757,1825.7731702552587
8,1000000,1.5661752074502482e-14,-1.360176997947814e-16,-6.0038901183753715e-15,-547.3327943771191,-2.2340618994762766,1820.8412640159472
9,1000000,1.5972014637570492e-14,-1.5591544523632859e-16,5.866195156179763e-15,-636.4129188284074,1.6997514899670019,1825.8382559027866
10,1000000,1.560529938444045e-14,1.7509108056658177e-16,-4.2607061705414486e-15,-559.8389113355335,0.7883086797521497,1823.3069028961327
11,1000000,1.5508943082160017e-14,-5.084399807081858e-16,-9.583902112757719e-15,-489.97453223432797,-4.187650816723723,1821.8684796878974
12,1000000,1.595911708900024e-14,-4.47918727693183e-17,6.057565693576703e-16,-559.631062698996,-0.6070199420579447,1824.4947453490265
13,1000000,1.5776123989575273e-14,-9.792634436717494e-17,-1.0446026817220077e-14,-534.4596722500185,-1.9031558478469852,1822.6202059238256
14,1000000,1.576570568907425e-14,-3.8478498528686404e-16,-1.1629232936470822e-14,-496.4628294097031,-0.07710009124468403,1823.4083139082252
15,1000000,1.5951937435160603e-14,7.657788109634667e-17,2.829133859207646e-16,-693.6487969244404,-1.0197437510490606,1826.794153998325
16,1000000,1.584347033357803e-14,4.882238894653159e-16,4.531710835842098e-15,-504.00863059199276,1.7399842271950234,1821.4371501140176
17,1000000,1.5850001994085695e-14,1.0075234173182191e-16,-1.140141521227681e-15,-626.8583311162275,-3.6463192620219904,1826.435067050027
18,1000000,1.619761122809056e-14,8.194904578394358e-17,9.591450851063387e-15,-663.8580341310076,0.10044288261694144,1824.7802923944307
19,1000000,1.5575644823681538e-14,3.2049716296814226e-16,-3.331005993138092e-15,-645.0256408096276,1.8640431453498252,1823.0039391751668
20,1000000,1.5591858352326014e-14,-2.4948971851482754e-16,6.390353282681753e-15,-482.94867414132676,0.9054874862312234,1822.6065666463269
21,1000000,1.5938164221152493e-14,-2.5028308214966247e-16,7.131977184864556e-15,-644.1790057333831,1.4368313466805853,1828.398989747113
22,1000000,1.577815486671524e-14,3.3681749815760037e-17,1.1848171594360327e-14,-580.6441762131259,2.4960593707939505,1824.6645937878443
23,1000000,1.515931154545497e-14,-1.513985859933153e-16,-1.6753858754183773e-15,-569.4596761946754,0.004550038639036468,1825.7273804378249
24,1000000,1.5568389156550844e-14,8.8974126678402e-17,-6.281921608342103e-15,-551.768671408323,-0.3753998690751512,1820.4958211716244
25,1000000,1.605922895095747e-14,3.148642931333192e-16,5.443929505981786e-15,-562.9975533907755,1.114366980603391,1822.3222145514103
26,1000000,1.567772924020973e-14,-4.680893924835448e-16,4.1686004678442203e-16,-516.8438030505046,2.0756668666623974,1827.1732264952395
27,1000000,1.6114602431311106e-14,-1.1113065478226394e-16,4.261135231620038e-15,-602.3027426981254,-1.6331268311461271,1826.372046318097
28,1000000,1.546449116025675e-14,-6.680260141118244e-16,-6.590216662267233e-15,-611.1420363921601,-6.37096233331693,1826.313368243404
