,N,Bx,By,Bz,Ex,Ey,Ez
0,1000000,-2.0563445625486105e-13,-6.305354938563281e-13,4.197467571210969e-10,15881.046604705058,-44312.27018540943,577158.0437179559
1,1000000,-2.700995295519937e-13,6.368249356922896e-13,4.1889048340083295e-10,34735.8182633604,-1090.7888487281252,576003.7736641291
2,1000000,-8.761764585104279e-13,-7.241922676400891e-13,4.204836126122633e-10,-4255.650059536006,4851.526160479353,563345.4105641944
3,1000000,-1.1035997827662934e-13,-9.053288954774284e-13,4.1802529227645503e-10,-6847.932555303085,36438.5656377305,580738.0293786387
4,1000000,1.5871381495391188e-12,1.2289112180224383e-12,4.237767032205285e-10,-25897.16552698104,-41034.89060471135,572809.9644757505
5,1000000,-8.551179390972354e-13,6.944211379187912e-13,4.2284674694868084e-10,8305.125951994527,-30407.40522782819,585115.5549915056
6,1000000,-4.976987511886146e-13,6.46226725306167e-13,4.220916629861757e-10,6514.764910582544,12264.062970964642,569761.1030808907
7,1000000,5.904655324037023e-13,8.891400823755138e-13,4.186478726344885e-10,26750.510527483537,-21847.567177026045,575932.4950060649
8,1000000,-9.295341677715424e-13,2.997261023402462e-13,4.2267775178533937e-10,-36900.52177880852,13682.85050001594,573830.331454952
9,1000000,-2.1880766751402073e-13,1.0245636128282466e-12,4.1973380927925015e-10,-13381.861120933067,-15784.435802960428,588613.1426935912
10,1000000,-7.129406255039899e-14,-5.0532720770171436e-14,4.218546980999198e-10,-62714.39236327448,18413.309345673708,580721.8915341685
11,1000000,-2.9578840907449255e-13,4.3806362459317423e-13,4.256748931278726e-10,18996.011827419585,5693.5906766439375,571629.9031703646
12,1000000,-7.246612575207254e-13,6.571229490880161e-13,4.2114609877114486e-10,-19046.02959020783,-22271.174505881147,575955.400650945
13,1000000,1.8807708383070645e-13,-5.38975830868636e-13,4.288423373754574e-10,4005.293731179883,48.800617640164575,559430.6409589206
14,1000000,8.029860808333666e-13,-2.0390773243058736e-13,4.180862584319239e-10,-5987.219480628817,11223.094586347634,571969.0644397452
15,1000000,-1.0654393725020971e-12,1.0114952777884249e-13,4.186982301552093e-10,22594.777281902974,-14678.990883348666,560676.7512929434
16,1000000,2.2149014046655723e-13,5.254358738460306e-13,4.1541559680392357e-10,32558.159952974238,10672.94894191717,580517.2879227449
17,1000000,8.52179622382272e-13,2.852017546376264e-14,4.2150371019471834e-10,-9825.572220445727,-6340.46085272192,564390.3211000109
18,1000000,1.1165951748193597e-12,-2.1855457300634067e-13,4.1683111252089064e-10,48829.05022861445,-60902.27777528041,562895.1480964444
19,1000000,-7.591856638988622e-14,-5.694624429220744e-14,4.2107041975272463e-10,-2904.4136076709956,13239.03693315735,581106.0778830556
20,1000000,-6.235739491177576e-13,2.1069851690969366e-13,4.228782942514298e-10,-3146.886306839199,-33147.99091570134,581247.1141561678
21,1000000,4.556281989580903e-13,-6.479461311384157e-13,4.157836296543664e-10,-17043.943077774402,-16372.65378726834,595354.0443434975
22,1000000,-3.3723665756373086e-13,1.0061809294201937e-13,4.1954029117880173e-10,-2035.1601362344804,-9155.645071972776,577494.3553547591
23,1000000,3.588605882082747e-14,7.504127368993817e-13,4.17251170711803e-10,-12775.978613029476,17703.019830718735,572440.9132135006
24,1000000,1.9112008626190007e-13,2.183923742910599e-13,4.222936556750911e-10,31135.87103850119,-27165.73349510012,581675.9100879264
25,1000000,1.3524573789556561e-14,-8.872508328196614e-13,4.229443114021741e-10,-60.062960741791215,-7995.777715142905,570161.117720988
26,1000000,-2.7441511509533164e-13,-3.4040209114337056e-13,4.1779229214670613e-10,-1525.438969130833,5548.3899801947555,586152.4128099489
27,1000000,-2.508848061364234e-13,1.5698585122389083e-13,4.2225896634831933e-10,6697.993297701366,-45883.35647008584,589565.9302140013
28,1000000,4.327747388584849e-13,-3.6281224114683583e-13,4.2212122063279916e-10,2855.193878677454,21574.888259269243,580661.6555421151
29,1000000,-5.199623522388116e-13,5.850013779946876e-13,4.1914118763795907e-10,-12791.59710489196,10054.138481505583,571007.7456480933
30,1000000,-5.591006734523863e-13,5.569084772694946e-13,4.198742079626838e-10,21699.0610417134,-230.1077209492705,575104.2098386744
31,1000000,1.9826561732952744e-13,7.372529887358517e-13,4.23102207931889e-10,-38270.68169071841,-11665.031981329821,570988.2406096152
32,1000000,4.0901292000206444e-14,-3.179532581309414e-13,4.174915375445067e-10,21013.091689079112,-154.55545712700194,576455.9375520814
33,1000000,-2.666062325466932e-13,-1.455895576404192e-13,4.1879957210368143e-10,-24166.044810089752,-12742.914721668149,577996.5397698263
34,1000000,-6.819548791194364e-13,-3.582222592568389e-13,4.1995182937337234e-10,12302.847883937986,-6832.366074439577,566433.3275864631
35,1000000,1.1139357435237897e-12,-6.503459997722815e-13,4.142663117727079e-10,18137.654274107786,-9305.292586169644,567896.7623696338
36,1000000,5.746737699985934e-13,-1.428575246473227e-15,4.2193592822168355e-10,9371.563628743328,15316.275708545234,563075.051779794
37,1000000,2.658366750017591e-13,-2.0453617543402377e-13,4.1747109566500836e-10,14458.13703702868,-6753.788730676387,583120.9896435989
38,1000000,-5.374384905841892e-13,-7.871355854195943e-13,4.2440128302855e-10,14876.663565382525,-7582.787808165517,585244.8463594927
39,1000000,-1.0996176508397357e-12,-3.09594071004688e-14,4.17739435051553e-10,4463.515958130273,-6668.306787831914,586611.6452927901
40,1000000,9.857056899439921e-13,-2.512949279388782e-13,4.1808196729591985e-10,33271.567158571765,20622.831302908424,582516.7069462521
41,1000000,-7.772150043134682e-13,5.163009562060771e-13,4.17391297466538e-10,-28639.108792157087,-17023.859320434,575097.2055579044
42,1000000,-1.3877888838008518e-12,-6.632279952830734e-14,4.2091624576328205e-10,-2653.952929722505,-319.3083838218812,572451.7267251246
43,1000000,9.935167584475426e-13,-1.0194182425710206e-12,4.260692965227539e-10,-15387.840731154041,-25129.579839674796,572079.9408419396
