,N,Bx,By,Bz,Ex,Ey,Ez
0,1000,1.15E-11,5.74E-12,1.62E-10,241802.1103,-41692.3216,-69886.25534
1,1000,6.62E-13,5.26E-12,2.51E-10,-457531.3876,615048.7912,51095.75187
2,1000,8.39E-13,1.27E-11,2.20E-10,360199.8423,278901.3732,-22485.73687
3,1000,4.45E-12,9.56E-12,2.46E-10,454043.2289,142521.3578,-31212.96741
4,1000,2.56E-12,-5.31E-13,1.48E-10,112445.9201,-52567.91673,-5971.338013
5,1000,1.70E-12,-9.46E-12,2.11E-10,-226101.5791,-130042.6257,-107815.7241
6,1000,-1.06E-11,1.88E-11,2.29E-10,-92012.76727,104987.8809,-199475.8186
7,1000,1.87E-12,7.95E-12,2.05E-10,-43984.60649,-14243.22358,54310.46297
8,1000,-2.91E-12,-3.43E-12,2.26E-10,97711.23066,647931.8377,-76373.77494
9,1000,1.83E-12,3.35E-12,1.52E-10,-60526.42216,8315.389184,41231.34323
10,1000,2.99E-12,5.40E-12,2.59E-10,111699.329,-324702.4726,-43533.88307
11,1000,7.77E-12,-1.10E-11,2.74E-10,68293.10167,-762324.0944,-79973.58658
12,1000,-1.55E-11,-8.29E-12,1.91E-10,18955.4656,-18382.88272,-112771.7488
13,1000,1.77E-11,2.40E-12,2.14E-10,547775.9126,-285266.9952,-249692.0738
14,1000,-1.60E-12,4.41E-12,2.37E-10,397492.7826,678759.5604,52471.54554
15,1000,5.20E-12,-9.56E-12,1.88E-10,-174411.4148,-102652.6643,19090.97292
16,1000,-8.17E-12,8.88E-12,2.24E-10,144780.8588,-205982.7767,-146232.7361
17,1000,3.17E-12,-1.17E-11,2.22E-10,229302.7219,-261131.6639,-143629.2487
18,1000,-2.82E-11,-9.82E-12,2.01E-10,-516954.0939,-57418.002,-198336.6915
19,1000,4.74E-13,3.38E-12,1.85E-10,-155353.936,-153921.7902,116028.2388
20,1000,1.12E-11,-3.95E-12,2.12E-10,145258.1783,-333810.3668,-16806.33771
21,1000,5.03E-12,-3.70E-12,1.93E-10,178247.1198,195953.1316,-65861.70557
22,1000,1.77E-12,1.58E-11,2.21E-10,-59509.02021,197686.2939,-128228.3436
23,1000,-7.76E-12,-2.77E-12,2.13E-10,-127170.7036,174540.944,-43665.00902
24,1000,3.89E-12,8.72E-12,1.81E-10,-55825.96366,120416.0097,-85240.19959
25,1000,-2.79E-13,-1.34E-11,2.80E-10,125529.3537,-454411.2008,-363773.2798
26,1000,7.04E-12,-7.73E-12,2.29E-10,-218162.2478,201611.7447,-44093.5754
27,1000,-1.08E-11,1.06E-12,1.86E-10,-42123.12125,141981.2335,18108.40002
28,1000,1.20E-11,8.40E-12,2.06E-10,-610859.2821,192531.7369,-92976.56005
29,1000,2.99E-13,-1.67E-11,2.30E-10,37693.83166,-396825.0914,-180791.9976
30,1000,1.07E-11,-2.89E-13,2.42E-10,112464.8148,244721.8964,-173677.5507
31,1000,-2.20E-11,1.06E-11,2.59E-10,39393.51403,136069.9134,-171988.1272
