,N,Bx,By,Bz,Ex,Ey,Ez
0,100000,8.130785080711551e-13,2.9966425829721114e-12,1.3514515528523451e-10,8877.862059634983,43697.371505305695,-190187.36326266144
1,100000,1.1146348717766462e-12,-1.3000855323566087e-13,1.3764343657240086e-10,36404.99895723179,-11662.75256334865,-202160.61208110471
2,100000,9.244599033093602e-13,-1.4768473654394311e-12,1.3693951553458623e-10,10982.664641933356,-30848.868426394503,-195455.07321458508
3,100000,3.1718540543754994e-14,8.088107160724428e-13,1.353719244895074e-10,11967.757285586438,-12492.554659762123,-185351.65799256344
4,100000,-7.145652935259455e-13,5.380143086238753e-13,1.38172658873624e-10,-12407.018556015633,6907.152726982332,-206437.7931604976
5,100000,-4.791030392107664e-13,1.3516962506680978e-13,1.385898404981336e-10,17384.14375174287,8076.323928930568,-201661.1867089329
6,100000,-4.145368980332284e-13,-1.0001156106282141e-12,1.380659226361543e-10,-3123.820640524135,-6467.678655160827,-203337.23929338728
7,100000,-7.598364056477974e-13,-1.1389472470048985e-12,1.3130009913195957e-10,6336.698182292192,-23459.268260775127,-176458.9375926597
8,100000,-1.855764775695646e-12,-6.196079548767264e-13,1.376809883872851e-10,-23122.47883217017,-20196.725806565428,-197429.93367209804
9,100000,2.898903549329865e-13,-2.6622487201047823e-13,1.3430747932750107e-10,2747.2101152607615,23207.46938596444,-184439.3809338456
10,100000,1.344724331718232e-12,7.68937141536911e-13,1.3882565717232974e-10,10687.574291052706,6890.62846497924,-195249.9878717614
11,100000,1.8565280572969306e-12,3.1052771267625675e-13,1.4038441701921173e-10,51856.988078866954,493.20515050392663,-198724.94091727867
12,100000,1.4502244869702415e-12,8.490602760547947e-13,1.3282804598475963e-10,6882.173170826709,16679.654353031303,-178186.16118720823
13,100000,-8.492980955223762e-13,-1.3485740260614305e-12,1.2782143983362672e-10,-9964.71834211729,-2731.06909181641,-171459.5861558599
14,100000,-3.894935479867488e-13,-4.660129367479054e-13,1.314440548223253e-10,1067.830336625125,15437.640521799476,-179608.91576826698
15,100000,1.0778376824857287e-12,3.5012565941769094e-13,1.3761462441569316e-10,32990.90802167695,18760.083369640128,-202580.48774515456
16,100000,2.2614109867775796e-12,1.002529612088141e-12,1.3825942525561108e-10,17590.621069949033,12498.287422420832,-205897.55923540838
17,100000,-1.1507528681265223e-12,2.2496341522641614e-13,1.4039762887594617e-10,-2105.355212290634,4731.370689006718,-200775.96641671378
18,100000,5.434088882648794e-13,-2.73146535662996e-14,1.3859394944356067e-10,19006.251075317665,-12574.757847948369,-197637.42654261115
19,100000,9.05682478344833e-13,5.432663066349124e-13,1.308831517649443e-10,15364.129367928124,3909.335866700592,-173609.71336494148
20,100000,-5.054650173670866e-14,-9.911115711434898e-13,1.3713719908411545e-10,5681.928463044707,-14392.781536789355,-195443.44549904868
21,100000,-6.002560240094273e-13,-9.11799645827517e-15,1.4387390645677424e-10,-25278.63544161557,-52830.876555288814,-209480.26697946314
22,100000,-5.921870904219578e-13,-1.2660157269607507e-13,1.4104555752733558e-10,-20454.997513808845,17996.506850562222,-199991.51654185695
23,100000,-1.4675613203937719e-12,6.763824854563774e-13,1.390310972128762e-10,-44494.02050154735,-5110.72160062337,-209116.57297084297
24,100000,-1.58839226810334e-14,-1.6375386068574244e-13,1.3851127907576087e-10,6140.939722922182,-5523.244128723693,-183461.94197246782
25,100000,1.126761215928331e-12,1.1891274575663903e-13,1.3083470303725827e-10,28601.274922440123,10549.657814456385,-168321.5666057343
26,100000,1.098933555535102e-14,5.620192889212076e-13,1.3399573474709193e-10,6108.293935837598,-478.12549684713326,-194023.16742099536
