Diameter,D_var,Height,H_Var
168,63,490,96
265,63,615,98
361,63,275,97
159,63,386,234
138,63,649,95
205,63,2474,95
654,63,2956,94
230,63,3371,94
158,63,410,94
50,63,1043,444
88,63,984,452
73,63,1277,453
50,63,1399,470
100,63,919,471
95,63,226,226
253,63,2108,230
278,63,467,105
138,63,2059,138
80,63,109,138
125,63,327,84
115,63,298,90
146,63,216,91
45,63,75,91
372,125,443,191
177,63,289,95
188,63,237,95
160,63,521,96
229,63,628,97
208,63,282,101
185,63,606,101
80,63,195,101
180,63,780,101
226,63,704,102
118,63,384,103
80,63,527,103
186,63,526,105
80,63,468,125
119,63,136,82
84,63,147,84
125,63,369,88
106,63,134,89
90,63,87,89
278,63,729,90
151,63,264,93
258,63,1744,93
113,63,2835,93
1648,63,4437,156
361,63,547,157
133,63,1060,157
335,63,694,157
1433,63,1882,157
133,63,331,134
106,63,615,134
221,63,1503,209
186,63,398,224
285,125,2665,396
280,125,476,439
309,125,812,435
226,125,122,419
351,125,232,421
361,125,605,448
430,125,1473,431
426,125,463,429
426,125,497,428
354,125,355,416
302,125,972,415
382,125,412,375
301,125,459,382
355,125,433,436
407,125,665,435
318,125,1034,432
266,125,809,430
195,125,327,406
305,125,372,405
372,125,387,380
472,125,562,374
340,125,511,378
391,125,657,378
301,125,210,380
247,125,639,374
401,125,880,432
98,63,315,131
125,63,289,132
98,63,563,132
157,63,694,132
135,63,255,133
195,63,1686,150
256,63,835,160
1008,63,2208,207
143,63,705,208
654,63,1107,220
108,63,383,233
67,63,174,141
174,63,543,147
124,63,426,147
98,63,183,173
138,63,1071,181
246,63,1523,184
141,63,500,224
354,63,1379,279
255,125,1322,447
202,125,571,438
90,125,1352,433
250,250,1293,784
283,125,1043,479
305,125,539,468
138,63,1242,283
188,63,479,223
188,63,263,212
126,63,228,211
175,63,272,212
234,63,555,229
289,63,998,229
388,63,912,286
313,63,1508,289
113,63,426,288
155,63,383,282
143,63,335,282
250,63,395,283
138,63,302,281
126,63,242,280
258,63,473,242
316,63,1045,241
213,63,546,224
200,63,477,213
127,63,243,210
200,63,282,202
151,63,319,202
198,63,222,201
131,63,256,201
125,63,322,248
168,63,322,248
143,63,374,245
223,63,267,207
195,63,340,244
230,63,981,244
221,63,301,243
170,63,408,226
129,63,147,202
50,63,145,204
163,63,284,204
331,63,746,203
168,63,295,193
151,63,104,101
75,63,580,218
118,63,1210,209
416,63,1187,215
416,63,1324,214
319,63,1103,214
327,63,1155,129
151,63,993,281
146,63,284,280
64,63,160,281
91,63,243,278
143,63,591,278
125,63,329,278
222,63,835,277
125,63,670,277
302,63,795,280
248,63,644,275
108,63,321,275
202,63,737,274
219,63,295,274
115,63,258,274
135,63,387,273
266,63,384,273
178,63,405,273
223,63,469,274
146,63,216,274
71,63,156,274
101,63,251,273
205,63,389,272
98,63,219,272
168,63,463,270
95,63,135,270
118,63,361,270
355,63,666,271
141,63,288,271
170,63,302,270
178,63,260,270
281,63,889,263
153,63,236,254
135,63,238,252
115,63,176,251
531,63,2228,283
203,63,422,283
141,63,457,280
143,63,244,276
141,63,552,276
186,63,345,276
125,63,238,267
106,63,229,269
186,63,729,267
221,63,574,266
168,63,187,265
141,63,112,260
160,63,256,260
151,63,370,259
292,63,742,256
