x,y,z,Bx,By,Bz,Ex,Ey,Ez
-4.500000000000e+02,0.000000000000e+00,0.000000000000e+00,-1.530203549759e-15,-4.501681454457e-14,3.151454865827e-15,-4.983773259519e+03,2.548008632222e-01,-1.011087682657e+03
-4.500000000000e+02,0.000000000000e+00,2.000000000000e-01,-1.527008719086e-15,-4.492733472452e-14,3.153393445990e-15,-4.985079926023e+03,2.548032488700e-01,-1.009084779201e+03
-4.500000000000e+02,0.000000000000e+00,4.000000000000e-01,-1.523809781917e-15,-4.483778119434e-14,3.155328411622e-15,-4.986384185957e+03,2.548054824596e-01,-1.007080220237e+03
-4.500000000000e+02,0.000000000000e+00,6.000000000000e-01,-1.520606744560e-15,-4.474815407297e-14,3.157259754215e-15,-4.987686035822e+03,2.548075639835e-01,-1.005074008423e+03
-4.500000000000e+02,0.000000000000e+00,8.000000000000e-01,-1.517399613350e-15,-4.465845347971e-14,3.159187465272e-15,-4.988985472125e+03,2.548094934345e-01,-1.003066146427e+03
-4.500000000000e+02,0.000000000000e+00,1.000000000000e+00,-1.514188394644e-15,-4.456867953415e-14,3.161111536303e-15,-4.990282491378e+03,2.548112708060e-01,-1.001056636923e+03
-4.500000000000e+02,0.000000000000e+00,1.200000000000e+00,-1.510973094827e-15,-4.447883235621e-14,3.163031958833e-15,-4.991577090095e+03,2.548128960917e-01,-9.990454825910e+02
-4.500000000000e+02,0.000000000000e+00,1.400000000000e+00,-1.507753720305e-15,-4.438891206616e-14,3.164948724394e-15,-4.992869264799e+03,2.548143692858e-01,-9.970326861202e+02
-4.500000000000e+02,0.000000000000e+00,1.600000000000e+00,-1.504530277510e-15,-4.429891878454e-14,3.166861824530e-15,-4.994159012014e+03,2.548156903831e-01,-9.950182502060e+02
-4.500000000000e+02,0.000000000000e+00,1.800000000000e+00,-1.501302772901e-15,-4.420885263225e-14,3.168771250796e-15,-4.995446328272e+03,2.548168593787e-01,-9.930021775514e+02
-4.500000000000e+02,0.000000000000e+00,2.000000000000e+00,-1.498071212958e-15,-4.411871373050e-14,3.170676994758e-15,-4.996731210107e+03,2.548178762681e-01,-9.909844708663e+02
-4.500000000000e+02,0.000000000000e+00,2.200000000000e+00,-1.494835604187e-15,-4.402850220082e-14,3.172579047990e-15,-4.998013654061e+03,2.548187410475e-01,-9.889651328680e+02
-4.500000000000e+02,0.000000000000e+00,2.400000000000e+00,-1.491595953119e-15,-4.393821816506e-14,3.174477402081e-15,-4.999293656679e+03,2.548194537133e-01,-9.869441662810e+02
-4.500000000000e+02,0.000000000000e+00,2.600000000000e+00,-1.488352266309e-15,-4.384786174539e-14,3.176372048628e-15,-5.000571214512e+03,2.548200142624e-01,-9.849215738368e+02
-4.500000000000e+02,0.000000000000e+00,2.800000000000e+00,-1.485104550337e-15,-4.375743306430e-14,3.178262979240e-15,-5.001846324114e+03,2.548204226922e-01,-9.828973582743e+02
-4.500000000000e+02,0.000000000000e+00,3.000000000000e+00,-1.481852811808e-15,-4.366693224459e-14,3.180150185538e-15,-5.003118982047e+03,2.548206790006e-01,-9.808715223395e+02
-4.500000000000e+02,0.000000000000e+00,3.200000000000e+00,-1.478597057349e-15,-4.357635940940e-14,3.182033659152e-15,-5.004389184876e+03,2.548207831860e-01,-9.788440687853e+02
-4.500000000000e+02,0.000000000000e+00,3.400000000000e+00,-1.475337293614e-15,-4.348571468216e-14,3.183913391725e-15,-5.005656929171e+03,2.548207352469e-01,-9.768150003721e+02
-4.500000000000e+02,0.000000000000e+00,3.600000000000e+00,-1.472073527281e-15,-4.339499818665e-14,3.185789374910e-15,-5.006922211509e+03,2.548205351827e-01,-9.747843198673e+02
-4.500000000000e+02,0.000000000000e+00,3.800000000000e+00,-1.468805765050e-15,-4.330421004693e-14,3.187661600374e-15,-5.008185028471e+03,2.548201829930e-01,-9.727520300455e+02
-4.500000000000e+02,0.000000000000e+00,4.000000000000e+00,-1.465534013650e-15,-4.321335038741e-14,3.189530059792e-15,-5.009445376641e+03,2.548196786778e-01,-9.707181336882e+02
-4.500000000000e+02,0.000000000000e+00,4.200000000000e+00,-1.462258279829e-15,-4.312241933281e-14,3.191394744853e-15,-5.010703252613e+03,2.548190222379e-01,-9.686826335842e+02
-4.500000000000e+02,0.000000000000e+00,4.400000000000e+00,-1.458978570364e-15,-4.303141700815e-14,3.193255647255e-15,-5.011958652980e+03,2.548182136740e-01,-9.666455325294e+02
-4.500000000000e+02,0.000000000000e+00,4.600000000000e+00,-1.455694892053e-15,-4.294034353877e-14,3.195112758712e-15,-5.013211574346e+03,2.548172529879e-01,-9.646068333269e+02
-4.500000000000e+02,0.000000000000e+00,4.800000000000e+00,-1.452407251720e-15,-4.284919905035e-14,3.196966070945e-15,-5.014462013318e+03,2.548161401812e-01,-9.625665387865e+02
-4.500000000000e+02,0.000000000000e+00,5.000000000000e+00,-1.449115656212e-15,-4.275798366885e-14,3.198815575689e-15,-5.015709966506e+03,2.548148752565e-01,-9.605246517256e+02
-4.500000000000e+02,0.000000000000e+00,5.200000000000e+00,-1.445820112402e-15,-4.266669752058e-14,3.200661264692e-15,-5.016955430528e+03,2.548134582165e-01,-9.584811749682e+02
-4.500000000000e+02,0.000000000000e+00,5.400000000000e+00,-1.442520627185e-15,-4.257534073213e-14,3.202503129711e-15,-5.018198402007e+03,2.548118890645e-01,-9.564361113458e+02
-4.500000000000e+02,0.000000000000e+00,5.600000000000e+00,-1.439217207482e-15,-4.248391343042e-14,3.204341162518e-15,-5.019438877571e+03,2.548101678042e-01,-9.543894636965e+02
-4.500000000000e+02,0.000000000000e+00,5.800000000000e+00,-1.435909860237e-15,-4.239241574270e-14,3.206175354895e-15,-5.020676853852e+03,2.548082944398e-01,-9.523412348658e+02
-4.500000000000e+02,0.000000000000e+00,6.000000000000e+00,-1.432598592418e-15,-4.230084779650e-14,3.208005698637e-15,-5.021912327489e+03,2.548062689759e-01,-9.502914277062e+02
-4.500000000000e+02,0.000000000000e+00,6.200000000000e+00,-1.429283411019e-15,-4.220920971970e-14,3.209832185550e-15,-5.023145295127e+03,2.548040914176e-01,-9.482400450769e+02
